,id,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
4935,R05821,inosine:oxygen 5'-oxidoreductase,C00294 + C00007 <=> C11631 + C00001,Inosine + Oxygen <=> 9-Riburonosylhypoxanthine + H2O,1.1.3.28,"['C00294', 'C00007']","['C11631', 'C00001']","[1, 1]","[1, 1]"
4936,R05822,5'-oxoinosine:oxygen 5'-oxidoreductase,2 C01993 + C00007 <=> 2 C11631,2 5'-Oxoinosine + Oxygen <=> 2 9-Riburonosylhypoxanthine,1.1.3.28,"['C01993', 'C00007']",['C11631'],"['2', 1]",['2']
4937,R05823,2-dehydro-D-gluconate:NADP+ 2-oxidoreductase,C06473 + C00006 <=> C02780 + C00005 + C00080,"2-Keto-D-gluconic acid + NADP+ <=> 2,5-Didehydro-D-gluconate + NADPH + H+",1.1.1.274,"['C06473', 'C00006']","['C02780', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
4938,R05824,"4,21-Dehydrocorynantheine aldehyde <=> 4,21-Dehydrogeissoschizine",C11679 <=> C03677,"4,21-Dehydrocorynantheine aldehyde <=> 4,21-Dehydrogeissoschizine",,['C11679'],['C03677'],[1],[1]
4939,R05825,polyneuridine aldehyde hydrolase (decarboxylating),C11632 + C00001 <=> C11633 + C00011 + C00132,Polyneuridine aldehyde + H2O <=> 16-Epivellosimine + CO2 + Methanol,3.1.1.78,"['C11632', 'C00001']","['C11633', 'C00011', 'C00132']","[1, 1]","[1, 1, 1]"
4940,R05826,16-Epivellosimine <=> Vellosimine,C11633 <=> C11634,16-Epivellosimine <=> Vellosimine,,['C11633'],['C11634'],[1],[1]
4941,R05827,10-deoxysarpagine:NADP+ oxidoreductase,C11635 + C00006 <=> C11634 + C00005 + C00080,10-Deoxysarpagine + NADP+ <=> Vellosimine + NADPH + H+,1.1.1.273,"['C11635', 'C00006']","['C11634', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
4942,R05828,"10-deoxysarpagine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (10-hydroxylating)",C11635 + C03024 + C00007 <=> C09239 + C03161 + C00001,10-Deoxysarpagine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Sarpagine + [Oxidized NADPH---hemoprotein reductase] + H2O,1.14.14.136,"['C11635', 'C03024', 'C00007']","['C09239', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1]"
4943,R05829,Geissoschizine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Polyneuridine aldehyde + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,C02151 + C03024 + C00007 <=> C11632 + C03161 + 2 C00001,Geissoschizine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Polyneuridine aldehyde + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,1.14.14.-,"['C02151', 'C03024', 'C00007']","['C11632', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, '2']"
4944,R05830,"2-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone:oxidized-dithiothreitol oxidoreductase",C02793 + C01119 <=> C05849 + C00265,2-Hydroxy-vitamin K + Oxidized dithiothreitol <=> Vitamin K1 epoxide + Dithiothreitol,1.17.4.5,"['C02793', 'C01119']","['C05849', 'C00265']","[1, 1]","[1, 1]"
4945,R05831,xylitol:NAD oxidoreductase,C00379 + C00003 <=> C00312 + C00004 + C00080,Xylitol + NAD+ <=> L-Xylulose + NADH + H+,1.1.1.15,"['C00379', 'C00003']","['C00312', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
4946,R05832,"7-deoxyloganate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (7alpha-hydroxylating)",C11636 + C03024 + C00007 <=> C01512 + C03161 + C00001,7-Deoxyloganate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Loganate + [Oxidized NADPH---hemoprotein reductase] + H2O,1.14.14.85,"['C11636', 'C03024', 'C00007']","['C01512', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1]"
4947,R05833,"loganate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (ring-cleaving)",C01512 + C03024 + C00007 <=> C01957 + C03161 + 2 C00001,Loganate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Secologanate + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,1.14.19.62,"['C01512', 'C03024', 'C00007']","['C01957', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, '2']"
4948,R05834,S-adenosyl-L-methionine:secologanate 11-O-methyltransferase,C00019 + C01957 <=> C00021 + C01852,S-Adenosyl-L-methionine + Secologanate <=> S-Adenosyl-L-homocysteine + Secologanin,2.1.1.50,"['C00019', 'C01957']","['C00021', 'C01852']","[1, 1]","[1, 1]"
4949,R05835,Glycocholate amidohydrolase,C01921 + C00001 <=> C00695 + C00037,Glycocholate + H2O <=> Cholic acid + Glycine,3.5.1.24,"['C01921', 'C00001']","['C00695', 'C00037']","[1, 1]","[1, 1]"
4950,R05836,"3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate + 2 H+ <=> Deoxycholic acid",C11637 + 2 C00080 <=> C04483,"3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate + 2 H+ <=> Deoxycholic acid",,"['C11637', 'C00080']",['C04483'],"[1, '2']",[1]
4951,R05837,4-(phosphonooxy)threonine:NAD oxidoreductase,C06055 + C00003 <=> C11638 + C00004 + C00080 + C00011,O-Phospho-4-hydroxy-L-threonine + NAD+ <=> 3-Amino-2-oxopropyl phosphate + NADH + H+ + CO2,1.1.1.262,"['C06055', 'C00003']","['C11638', 'C00004', 'C00080', 'C00011']","[1, 1]","[1, 1, 1, 1]"
4952,R05838,pyridoxine 5'-phosphate synthase,C11638 + C11437 <=> C00627 + C00009 + 2 C00001,3-Amino-2-oxopropyl phosphate + 1-Deoxy-D-xylulose 5-phosphate <=> Pyridoxine phosphate + Orthophosphate + 2 H2O,2.6.99.2,"['C11638', 'C11437']","['C00627', 'C00009', 'C00001']","[1, 1]","[1, 1, '2']"
4953,R05839,pyridoxamine:2-oxoglutarate aminotransferase,C00534 + C00026 <=> C00250 + C00217,Pyridoxamine + 2-Oxoglutarate <=> Pyridoxal + D-Glutamate,2.6.1.54,"['C00534', 'C00026']","['C00250', 'C00217']","[1, 1]","[1, 1]"
4954,R05840,Glycolaldehyde + 2-Oxobutanoate + Alanine <=> Pyridoxine,C00266 + C00109 + C01401 <=> C00314,Glycolaldehyde + 2-Oxobutanoate + Alanine <=> Pyridoxine,,"['C00266', 'C00109', 'C01401']",['C00314'],"[1, 1, 1]",[1]
4955,R05841,phenylacetyl-CoA:glycine N-phenylacetyltransferase,C00582 + C00037 <=> C05598 + C00010,Phenylacetyl-CoA + Glycine <=> Phenylacetylglycine + CoA,2.3.1.192,"['C00582', 'C00037']","['C05598', 'C00010']","[1, 1]","[1, 1]"
4956,R05842,ethylene oxide hydrolase,C06548 + C00001 <=> C01380,Ethylene oxide + H2O <=> Ethylene glycol,3.3.2.10,"['C06548', 'C00001']",['C01380'],"[1, 1]",[1]
4957,R05843,"Phenanthrene + NADH + H+ + Oxygen <=> (+)-cis-3,4-Dihydrophenanthrene-3,4-diol + NAD+",C11422 + C00004 + C00080 + C00007 <=> C04468 + C00003,"Phenanthrene + NADH + H+ + Oxygen <=> (+)-cis-3,4-Dihydrophenanthrene-3,4-diol + NAD+",1.13.11.-,"['C11422', 'C00004', 'C00080', 'C00007']","['C04468', 'C00003']","[1, 1, 1, 1]","[1, 1]"
4958,R05844,Strictosidine aglycone <=> Dialdehyde,C03309 <=> C11678,Strictosidine aglycone <=> Dialdehyde,,['C03309'],['C11678'],[1],[1]
4959,R05845,"Dialdehyde + H+ <=> 4,21-Dehydrocorynantheine aldehyde + H2O",C11678 + C00080 <=> C11679 + C00001,"Dialdehyde + H+ <=> 4,21-Dehydrocorynantheine aldehyde + H2O",,"['C11678', 'C00080']","['C11679', 'C00001']","[1, 1]","[1, 1]"
4960,R05846,"4,21-Dehydrogeissoschizine <=> Cathenamine",C03677 <=> C11680,"4,21-Dehydrogeissoschizine <=> Cathenamine",,['C03677'],['C11680'],[1],[1]
4961,R05847,Cathenamine + NADPH + H+ <=> Ajmalicine + NADP+,C11680 + C00005 + C00080 <=> C09024 + C00006,Cathenamine + NADPH + H+ <=> Ajmalicine + NADP+,,"['C11680', 'C00005', 'C00080']","['C09024', 'C00006']","[1, 1, 1]","[1, 1]"
4962,R05848,Cathenamine + NADPH + H+ <=> Tetrahydroalstonine + NADP+,C11680 + C00005 + C00080 <=> C11682 + C00006,Cathenamine + NADPH + H+ <=> Tetrahydroalstonine + NADP+,,"['C11680', 'C00005', 'C00080']","['C11682', 'C00006']","[1, 1, 1]","[1, 1]"
4963,R05849,Ajmalicine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Serpentine + [Oxidized NADPH---hemoprotein reductase] + 2 H2O + 2 H+,C09024 + C03024 + C00007 <=> C09241 + C03161 + 2 C00001 + 2 C00080,Ajmalicine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Serpentine + [Oxidized NADPH---hemoprotein reductase] + 2 H2O + 2 H+,1.14.14.-,"['C09024', 'C03024', 'C00007']","['C09241', 'C03161', 'C00001', 'C00080']","[1, 1, 1]","[1, 1, '2', '2']"
4964,R05850,L-ribulose-5-phosphate 4-epimerase,C01101 <=> C00231,L-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate,5.1.3.4,['C01101'],['C00231'],[1],[1]
4965,R05852,"4,21-Dehydrogeissoschizine <=> Stemmadenine",C03677 <=> C11691,"4,21-Dehydrogeissoschizine <=> Stemmadenine",,['C03677'],['C11691'],[1],[1]
4966,R05853,Stemmadenine <=> Tabersonine,C11691 <=> C09244,Stemmadenine <=> Tabersonine,,['C11691'],['C09244'],[1],[1]
4967,R05854,Stemmadenine <=> Catharanthine,C11691 <=> C09107,Stemmadenine <=> Catharanthine,,['C11691'],['C09107'],[1],[1]
4968,R05855,"tabersonine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (16-hydroxylating)",C09244 + C03024 + C00007 <=> C11643 + C03161 + C00001,Tabersonine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 16-Hydroxytabersonine + [Oxidized NADPH---hemoprotein reductase] + H2O,1.14.14.103,"['C09244', 'C03024', 'C00007']","['C11643', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1]"
4969,R05856,"16-Methoxytabersonine + H2O <=> 16-Methoxy-2,3-dihydro-3-hydroxytabersonine",C11675 + C00001 <=> C04578,"16-Methoxytabersonine + H2O <=> 16-Methoxy-2,3-dihydro-3-hydroxytabersonine",,"['C11675', 'C00001']",['C04578'],"[1, 1]",[1]
4970,R05857,"desacetoxyvindoline,2-oxoglutarate:oxygen oxidoreductase (4b-hydroxylating)",C02673 + C00026 + C00007 <=> C01091 + C00042 + C00011,Desacetoxyvindoline + 2-Oxoglutarate + Oxygen <=> Deacetylvindoline + Succinate + CO2,1.14.11.20,"['C02673', 'C00026', 'C00007']","['C01091', 'C00042', 'C00011']","[1, 1, 1]","[1, 1, 1]"
4971,R05858,"Vindoline + Catharanthine <=> 3',4'-Anhydrovinblastine",C01626 + C09107 <=> C11641,"Vindoline + Catharanthine <=> 3',4'-Anhydrovinblastine",,"['C01626', 'C09107']",['C11641'],"[1, 1]",[1]
4972,R05859,"3',4'-Anhydrovinblastine <=> Vinblastine",C11641 <=> C07201,"3',4'-Anhydrovinblastine <=> Vinblastine",,['C11641'],['C07201'],[1],[1]
4973,R05860,Vinblastine <=> Vincristine,C07201 <=> C07204,Vinblastine <=> Vincristine,,['C07201'],['C07204'],[1],[1]
4974,R05861,D-alanine:oxygen oxidoreductase (deaminating),C00133 + C00001 + C00007 <=> C00022 + C00014 + C00027,D-Alanine + H2O + Oxygen <=> Pyruvate + Ammonia + Hydrogen peroxide,1.4.3.3         1.4.3.19,"['C00133', 'C00001', 'C00007']","['C00022', 'C00014', 'C00027']","[1, 1, 1]","[1, 1, 1]"
4975,R05862,sarcosine:oxygen oxidoreductase (deaminating),C00213 + C00001 + C00007 <=> C00048 + C00218 + C00027,Sarcosine + H2O + Oxygen <=> Glyoxylate + Methylamine + Hydrogen peroxide,1.4.3.19,"['C00213', 'C00001', 'C00007']","['C00048', 'C00218', 'C00027']","[1, 1, 1]","[1, 1, 1]"
4976,R05863,N-ethylglycine:oxygen oxidoreductase (deaminating),C11735 + C00001 + C00007 <=> C00048 + C00797 + C00027,N-Ethylglycine + H2O + Oxygen <=> Glyoxylate + Ethylamine + Hydrogen peroxide,1.4.3.19,"['C11735', 'C00001', 'C00007']","['C00048', 'C00797', 'C00027']","[1, 1, 1]","[1, 1, 1]"
4977,R05864,4-Hydroxy-2-oxohexanoate hydro-lyase,C11354 + C00001 <=> C06762,"2-Hydroxy-cis-hex-2,4-dienoate + H2O <=> 4-Hydroxy-2-oxohexanoic acid",4.2.1.132,"['C11354', 'C00001']",['C06762'],"[1, 1]",[1]
4978,R05865,"2-Hydroxy-5-methyl-cis,cis-muconic-semialdehyde formylhydrolase",C06760 + C00001 <=> C00058 + C11354,"2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde + H2O <=> Formate + 2-Hydroxy-cis-hex-2,4-dienoate",3.7.1.9,"['C06760', 'C00001']","['C00058', 'C11354']","[1, 1]","[1, 1]"
4979,R05866,Tabersonine + NADPH + H+ + Oxygen <=> Lochnericine + NADP+ + H2O,C09244 + C00005 + C00080 + C00007 <=> C11676 + C00006 + C00001,Tabersonine + NADPH + H+ + Oxygen <=> Lochnericine + NADP+ + H2O,,"['C09244', 'C00005', 'C00080', 'C00007']","['C11676', 'C00006', 'C00001']","[1, 1, 1, 1]","[1, 1, 1]"
4980,R05867,Lochnericine <=> Horhammericine,C11676 <=> C11677,Lochnericine <=> Horhammericine,,['C11676'],['C11677'],[1],[1]
4981,R05868,Tabersonine <=> Horhammericine,C09244 <=> C11677,Tabersonine <=> Horhammericine,,['C09244'],['C11677'],[1],[1]
4982,R05869,Tabersonine <=> Minovincinine,C09244 <=> C11783,Tabersonine <=> Minovincinine,,['C09244'],['C11783'],[1],[1]
4983,R05870,Minovincinine + Acetyl-CoA <=> Echitovenine + CoA,C11783 + C00024 <=> C11784 + C00010,Minovincinine + Acetyl-CoA <=> Echitovenine + CoA,,"['C11783', 'C00024']","['C11784', 'C00010']","[1, 1]","[1, 1]"
4984,R05871,19-Hydroxytabersonine <=> Horhammericine,C11642 <=> C11677,19-Hydroxytabersonine <=> Horhammericine,,['C11642'],['C11677'],[1],[1]
4985,R05872,Tabersonine <=> 19-Hydroxytabersonine,C09244 <=> C11642,Tabersonine <=> 19-Hydroxytabersonine,,['C09244'],['C11642'],[1],[1]
4986,R05873,"4,21-Dehydrogeissoschizine <=> 19-epi-Cathenamine",C03677 <=> C11681,"4,21-Dehydrogeissoschizine <=> 19-epi-Cathenamine",,['C03677'],['C11681'],[1],[1]
4987,R05874,19-epi-Cathenamine + NADPH + H+ <=> 19-epi-Ajmalicine + NADP+,C11681 + C00005 + C00080 <=> C11683 + C00006,19-epi-Cathenamine + NADPH + H+ <=> 19-epi-Ajmalicine + NADP+,,"['C11681', 'C00005', 'C00080']","['C11683', 'C00006']","[1, 1, 1]","[1, 1]"
4988,R05875,[2Fe-2S]-ferredoxin:NAD+ oxidoreductase,2 C22150 + C00003 + C00080 <=> 2 C22151 + C00004,2 Reduced [2Fe-2S] ferredoxin + NAD+ + H+ <=> 2 Oxidized [2Fe-2S] ferredoxin + NADH,1.18.1.3        1.18.1.7,"['C22150', 'C00003', 'C00080']","['C22151', 'C00004']","['2', 1, 1]","['2', 1]"
4989,R05876,acyl-CoA:16-epivellosimine O-acetyltransferase (cyclizing),C00024 + C11633 <=> C00010 + C11807,Acetyl-CoA + 16-Epivellosimine <=> CoA + Vinorine,2.3.1.160,"['C00024', 'C11633']","['C00010', 'C11807']","[1, 1]","[1, 1]"
4990,R05877,"vinorine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (21alpha-hydroxylating)",C11807 + C03024 + C00007 <=> C01761 + C03161 + C00001,Vinorine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Vomilenine + [Oxidized NADPH---hemoprotein reductase] + H2O,1.14.14.104,"['C11807', 'C03024', 'C00007']","['C01761', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1]"
4991,R05878,"1,2-dihydrovomilenine:NADP+ oxidoreductase",C11808 + C00006 <=> C01761 + C00005 + C00080,"1,2-Dihydrovomilenine + NADP+ <=> Vomilenine + NADPH + H+",1.5.1.32,"['C11808', 'C00006']","['C01761', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
4992,R05879,17-O-acetylnorajmaline:NADP+ oxidoreductase,C11809 + C00006 <=> C11808 + C00005 + C00080,"17-O-Acetylnorajmaline + NADP+ <=> 1,2-Dihydrovomilenine + NADPH + H+",1.3.1.73,"['C11809', 'C00006']","['C11808', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
4993,R05880,17-O-acetylnorajmaline O-acetylhydrolase,C11809 + C00001 <=> C11810 + C00033,17-O-Acetylnorajmaline + H2O <=> Norajmaline + Acetate,3.1.1.80,"['C11809', 'C00001']","['C11810', 'C00033']","[1, 1]","[1, 1]"
4994,R05881,Norajmaline + S-Adenosyl-L-methionine <=> Ajmaline + S-Adenosyl-L-homocysteine,C11810 + C00019 <=> C06542 + C00021,Norajmaline + S-Adenosyl-L-methionine <=> Ajmaline + S-Adenosyl-L-homocysteine,,"['C11810', 'C00019']","['C06542', 'C00021']","[1, 1]","[1, 1]"
4995,R05882,UDP-glucose:vomilenine 21-O-beta-D-glucosyltransferase,C00029 + C01761 <=> C00015 + C02074,UDP-glucose + Vomilenine <=> UDP + Raucaffricine,2.4.1.219,"['C00029', 'C01761']","['C00015', 'C02074']","[1, 1]","[1, 1]"
4996,R05884,isopentenyl-diphosphate:ferredoxin oxidoreductase,C11811 + 2 C00138 + 2 C00080 <=> C00129 + 2 C00139 + C00001,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + 2 Reduced ferredoxin + 2 H+ <=> Isopentenyl diphosphate + 2 Oxidized ferredoxin + H2O,1.17.7.4,"['C11811', 'C00138', 'C00080']","['C00129', 'C00139', 'C00001']","[1, '2', '2']","[1, '2', 1]"
4997,R05885,S-adenosyl-L-methionine:16-Hydroxytabersonine 16-O-methyltransferase,C11643 + C00019 <=> C11675 + C00021 + C00080,16-Hydroxytabersonine + S-Adenosyl-L-methionine <=> 16-Methoxytabersonine + S-Adenosyl-L-homocysteine + H+,2.1.1.94,"['C11643', 'C00019']","['C11675', 'C00021', 'C00080']","[1, 1]","[1, 1, 1]"
4998,R05886,Tabersonine <=> Lochnerinine,C09244 <=> C11812,Tabersonine <=> Lochnerinine,,['C09244'],['C11812'],[1],[1]
4999,R05887,Deacetylipecoside <=> Demethylalangiside,C07307 <=> C11813,Deacetylipecoside <=> Demethylalangiside,,['C07307'],['C11813'],[1],[1]
5000,R05888,Demethylalangiside <=> Alangiside,C11813 <=> C09330,Demethylalangiside <=> Alangiside,,['C11813'],['C09330'],[1],[1]
5001,R05889,Deacetylisoipecoside <=> Demethylisoalangiside,C07304 <=> C11814,Deacetylisoipecoside <=> Demethylisoalangiside,,['C07304'],['C11814'],[1],[1]
5002,R05890,Demethylisoalangiside <=> Isoalangiside,C11814 <=> C11815,Demethylisoalangiside <=> Isoalangiside,,['C11814'],['C11815'],[1],[1]
5003,R05894,Protoemetine <=> Tubulosine,C11816 <=> C09248,Protoemetine <=> Tubulosine,,['C11816'],['C09248'],[1],[1]
5004,R05895,Protoemetine + Tryptamine <=> Deoxytubulosine,C11816 + C00398 <=> C11817,Protoemetine + Tryptamine <=> Deoxytubulosine,,"['C11816', 'C00398']",['C11817'],"[1, 1]",[1]
5005,R05896,Deoxytubulosine <=> Alangimarckine,C11817 <=> C09328,Deoxytubulosine <=> Alangimarckine,,['C11817'],['C09328'],[1],[1]
5006,R05897,Protoemetine <=> Ankorine,C11816 <=> C09337,Protoemetine <=> Ankorine,,['C11816'],['C09337'],[1],[1]
5007,R05898,Loganate <=> 10-Deoxygeniposidic acid,C01512 <=> C11672,Loganate <=> 10-Deoxygeniposidic acid,,['C01512'],['C11672'],[1],[1]
5008,R05899,10-Deoxygeniposidic acid <=> Geniposidic acid,C11672 <=> C11673,10-Deoxygeniposidic acid <=> Geniposidic acid,,['C11672'],['C11673'],[1],[1]
5009,R05900,Geniposidic acid <=> Asperuloside,C11673 <=> C09769,Geniposidic acid <=> Asperuloside,,['C11673'],['C09769'],[1],[1]
5010,R05901,UDP-N-acetyl-D-glucosamine + G00025 <=> UDP + G00209,G10610 + G00025 <=> G10619 + G00209,UDP-N-acetyl-D-glucosamine + G00025 <=> UDP + G00209,2.4.1.146,"['G10610', 'G00025']","['G10619', 'G00209']","[1, 1]","[1, 1]"
5011,R05902,UDP-N-acetyl-D-glucosamine + Galactosylgloboside <=> UDP + G00102,G10610 + G00097 <=> G10619 + G00102,UDP-N-acetyl-D-glucosamine + Galactosylgloboside <=> UDP + G00102,2.4.1.-,"['G10610', 'G00097']","['G10619', 'G00102']","[1, 1]","[1, 1]"
5012,R05903,UDP-D-galactose + G00102 <=> UDP + G00103,G10609 + G00102 <=> G10619 + G00103,UDP-D-galactose + G00102 <=> UDP + G00103,2.4.1.-,"['G10609', 'G00102']","['G10619', 'G00103']","[1, 1]","[1, 1]"
5013,R05904,GDP-L-fucose + G00103 <=> GDP + G00104,G10615 + G00103 <=> G10620 + G00104,GDP-L-fucose + G00103 <=> GDP + G00104,2.4.1.152,"['G10615', 'G00103']","['G10620', 'G00104']","[1, 1]","[1, 1]"
5014,R05905,CMP-N-acetylneuraminate + G00393 <=> CMP + G00251,G10616 + G00393 <=> G10621 + G00251,CMP-N-acetylneuraminate + G00393 <=> CMP + G00251,2.4.3.1,"['G10616', 'G00393']","['G10621', 'G00251']","[1, 1]","[1, 1]"
5015,R05906,CMP-N-acetylneuraminate + G00837 <=> CMP + G00251,G10616 + G00837 <=> G10621 + G00251,CMP-N-acetylneuraminate + G00837 <=> CMP + G00251,2.4.3.1,"['G10616', 'G00837']","['G10621', 'G00251']","[1, 1]","[1, 1]"
5016,R05907,UDP-N-acetyl-D-galactosamine + [Protein]-L-serine <=> UDP + Tn antigen,G10611 + C02189 <=> G10619 + G00023,UDP-N-acetyl-D-galactosamine + [Protein]-L-serine <=> UDP + Tn antigen,2.4.1.41,"['G10611', 'C02189']","['G10619', 'G00023']","[1, 1]","[1, 1]"
5017,R05908,UDP-D-galactose + Tn antigen <=> UDP + T antigen,G10609 + G00023 <=> G10619 + G00024,UDP-D-galactose + Tn antigen <=> UDP + T antigen,2.4.1.122,"['G10609', 'G00023']","['G10619', 'G00024']","[1, 1]","[1, 1]"
5018,R05909,UDP-N-acetyl-D-glucosamine + Tn antigen <=> UDP + G00028,G10610 + G00023 <=> G10619 + G00028,UDP-N-acetyl-D-glucosamine + Tn antigen <=> UDP + G00028,2.4.1.147,"['G10610', 'G00023']","['G10619', 'G00028']","[1, 1]","[1, 1]"
5019,R05910,UDP-N-acetyl-D-glucosamine + Tn antigen <=> UDP + G00031,G10610 + G00023 <=> G10619 + G00031,UDP-N-acetyl-D-glucosamine + Tn antigen <=> UDP + G00031,2.4.1.102       2.4.1.148,"['G10610', 'G00023']","['G10619', 'G00031']","[1, 1]","[1, 1]"
5020,R05911,CMP-N-acetylneuraminate + Tn antigen <=> CMP + Sialyl-Tn antigen,G10616 + G00023 <=> G10621 + G00035,CMP-N-acetylneuraminate + Tn antigen <=> CMP + Sialyl-Tn antigen,2.4.3.3,"['G10616', 'G00023']","['G10621', 'G00035']","[1, 1]","[1, 1]"
5021,R05912,UDP-N-acetyl-D-glucosamine + T antigen <=> UDP + G00025,G10610 + G00024 <=> G10619 + G00025,UDP-N-acetyl-D-glucosamine + T antigen <=> UDP + G00025,2.4.1.102,"['G10610', 'G00024']","['G10619', 'G00025']","[1, 1]","[1, 1]"
5022,R05913,CMP-N-acetylneuraminate + T antigen <=> CMP + G00026,G10616 + G00024 <=> G10621 + G00026,CMP-N-acetylneuraminate + T antigen <=> CMP + G00026,2.4.3.4,"['G10616', 'G00024']","['G10621', 'G00026']","[1, 1]","[1, 1]"
5023,R05914,CMP-N-acetylneuraminate + G00026 <=> CMP + G00027,G10616 + G00026 <=> G10621 + G00027,CMP-N-acetylneuraminate + G00026 <=> CMP + G00027,2.4.3.3         2.4.3.7,"['G10616', 'G00026']","['G10621', 'G00027']","[1, 1]","[1, 1]"
5024,R05915,UDP-N-acetyl-D-glucosamine + G00028 <=> UDP + G00029,G10610 + G00028 <=> G10619 + G00029,UDP-N-acetyl-D-glucosamine + G00028 <=> UDP + G00029,2.4.1.148,"['G10610', 'G00028']","['G10619', 'G00029']","[1, 1]","[1, 1]"
5025,R05916,UDP-N-acetyl-D-glucosamine + 1-Phosphatidyl-D-myo-inositol <=> UDP + G00143,G10610 + C01194 <=> G10619 + G00143,UDP-N-acetyl-D-glucosamine + 1-Phosphatidyl-D-myo-inositol <=> UDP + G00143,2.4.1.198,"['G10610', 'C01194']","['G10619', 'G00143']","[1, 1]","[1, 1]"
5026,R05917,G00143 + H2O <=> G00144 + Acetate,G00143 + C00001 <=> G00144 + C00033,G00143 + H2O <=> G00144 + Acetate,3.5.1.89,"['G00143', 'C00001']","['G00144', 'C00033']","[1, 1]","[1, 1]"
5027,R05918,G00144 + Palmitoyl-CoA <=> G00145 + CoA,G00144 + C00154 <=> G00145 + C00010,G00144 + Palmitoyl-CoA <=> G00145 + CoA,2.3.-.-,"['G00144', 'C00154']","['G00145', 'C00010']","[1, 1]","[1, 1]"
5028,R05919,Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate + G00146,G10617 + G00145 <=> G10622 + G00146,Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate + G00146,2.4.1.-,"['G10617', 'G00145']","['G10622', 'G00146']","[1, 1]","[1, 1]"
5029,R05922,Dolichyl phosphate D-mannose + G00148 <=> Dolichyl phosphate + G00149,G10617 + G00148 <=> G10622 + G00149,Dolichyl phosphate D-mannose + G00148 <=> Dolichyl phosphate + G00149,2.4.1.-,"['G10617', 'G00148']","['G10622', 'G00149']","[1, 1]","[1, 1]"
5030,R05923,"Phosphatidylethanolamine + G00140 <=> 1,2-Diacyl-sn-glycerol + G00141",C00350 + G00140 <=> C00641 + G00141,"Phosphatidylethanolamine + G00140 <=> 1,2-Diacyl-sn-glycerol + G00141",,"['C00350', 'G00140']","['C00641', 'G00141']","[1, 1]","[1, 1]"
5031,R05924,"Phosphatidylethanolamine + G00141 <=> 1,2-Diacyl-sn-glycerol + G00151",C00350 + G00141 <=> C00641 + G00151,"Phosphatidylethanolamine + G00141 <=> 1,2-Diacyl-sn-glycerol + G00151",2.7.-.-,"['C00350', 'G00141']","['C00641', 'G00151']","[1, 1]","[1, 1]"
5032,R05925,UDP-D-xylose + [Protein]-L-serine <=> UDP + G00154,G10613 + C02189 <=> G10619 + G00154,UDP-D-xylose + [Protein]-L-serine <=> UDP + G00154,2.4.2.26        2.4.2.63,"['G10613', 'C02189']","['G10619', 'G00154']","[1, 1]","[1, 1]"
5033,R05926,UDP-D-galactose + G00154 <=> UDP + G00155,G10609 + G00154 <=> G10619 + G00155,UDP-D-galactose + G00154 <=> UDP + G00155,2.4.1.133,"['G10609', 'G00154']","['G10619', 'G00155']","[1, 1]","[1, 1]"
5034,R05927,UDP-D-galactose + G00155 <=> UDP + G00156,G10609 + G00155 <=> G10619 + G00156,UDP-D-galactose + G00155 <=> UDP + G00156,2.4.1.134,"['G10609', 'G00155']","['G10619', 'G00156']","[1, 1]","[1, 1]"
